year,variable,mean,upperCI,lowerCI,lowerCI_positive
2003,NONPEDSPEC1,11.89613902,15.56493118,8.227346865,8.227346865
2003,PEDGEN1,58.09488172,65.50123276,50.68853068,50.68853068
2003,PEDSPEC1,1.221698664,2.348015465,0.095381862,0.095381862
2004,NONPEDGEN1,20.40054902,25.30013409,15.50096395,15.50096395
2004,NONPEDSPEC1,9.043946081,12.13207371,5.95581845,5.95581845
2004,PEDGEN1,66.83268716,73.69147615,59.97389817,59.97389817
2004,PEDSPEC1,3.722817735,8.437514618,-0.991879148,0
2005,NONPEDGEN1,19.34697521,23.33306238,15.36088804,15.36088804
2005,NONPEDSPEC1,7.224861308,10.04239683,4.407325784,4.407325784
2005,PEDGEN1,71.8742891,77.08652113,66.66205707,66.66205707
2005,PEDSPEC1,1.553874382,3.722807417,-0.615058653,0
2006,NONPEDGEN1,22.91274002,28.40993627,17.41554378,17.41554378
2006,NONPEDSPEC1,7.406376706,10.55429479,4.258458624,4.258458624
2006,PEDGEN1,69.33023024,75.58965111,63.07080938,63.07080938
2006,PEDSPEC1,0.350653027,0.837875326,-0.136569272,0
2007,NONPEDGEN1,21.48850523,26.39970607,16.5773044,16.5773044
2007,NONPEDSPEC1,8.725324221,11.54045856,5.910189886,5.910189886
2007,PEDGEN1,68.45818225,73.71735339,63.19901111,63.19901111
2007,PEDSPEC1,1.327988297,2.907072128,-0.251095535,0
2008,NONPEDGEN1,20.09699656,24.96400083,15.22999229,15.22999229
2008,NONPEDSPEC1,5.45398558,6.99646094,3.91151022,3.91151022
2008,PEDGEN1,73.72013799,79.1711343,68.26914168,68.26914168
2008,PEDSPEC1,0.728879872,1.642042918,-0.184283173,0
2009,NONPEDGEN1,18.48805031,22.8367066,14.13939402,14.13939402
2009,NONPEDSPEC1,9.055644996,11.55638664,6.554903356,6.554903356
2009,PEDGEN1,68.92514866,74.44153632,63.40876101,63.40876101
2009,PEDSPEC1,3.531156031,8.413090278,-1.350778215,0
2010,NONPEDGEN1,18.86453544,22.89172202,14.83734885,14.83734885
2010,NONPEDSPEC1,8.212898123,10.89962527,5.526170975,5.526170975
2010,PEDGEN1,69.45921819,75.38001166,63.53842471,63.53842471
2010,PEDSPEC1,3.463348251,7.518493889,-0.591797386,0
2011,NONPEDGEN1,14.48946408,18.48404587,10.49488229,10.49488229
2011,NONPEDSPEC1,7.493958009,9.905174288,5.08274173,5.08274173
2011,PEDGEN1,75.36882805,80.48385013,70.25380598,70.25380598
2011,PEDSPEC1,2.64774986,5.560436367,-0.264936647,0
2012,NONPEDGEN1,15.79129755,18.62899081,12.95360429,12.95360429
2012,NONPEDSPEC1,8.826230944,10.24045214,7.412009746,7.412009746
2012,PEDGEN1,72.67826787,76.508123,68.84841273,68.84841273
2012,PEDSPEC1,2.704203639,4.259040943,1.149366334,1.149366334
2013,NONPEDGEN1,16.99331066,21.15963248,12.82698885,12.82698885
2013,NONPEDSPEC1,11.26992949,14.545609,7.994249974,7.994249974
2013,PEDGEN1,67.817245,73.1600092,62.4744808,62.4744808
2013,PEDSPEC1,3.919514849,6.189760865,1.649268833,1.649268833
2015,NONPEDGEN1,16.58574104,22.59529193,10.57619015,10.57619015
2015,NONPEDSPEC1,17.12501122,25.07914906,9.170873383,9.170873383
2015,PEDGEN1,64.97042894,74.54833987,55.39251801,55.39251801
2015,PEDSPEC1,1.318818803,2.971298459,-0.333660852,0
2016,NONPEDGEN1,12.01206964,16.55833837,7.465800912,7.465800912
2016,NONPEDSPEC1,10.56749531,14.27152063,6.863469994,6.863469994
2016,PEDGEN1,72.10250317,81.42067974,62.7843266,62.7843266
2016,PEDSPEC1,5.317931881,12.52140155,-1.885537793,0
