year,variable,mean,upperCI,lowerCI,lowerCI_positive
1993,NONPEDGEN1,33.69579942,46.36802519,21.02357365,21.02357365
1993,NONPEDSPEC1,11.62340904,16.69647632,6.550341751,6.550341751
1993,PEDGEN1,54.45444256,69.8501618,39.05872331,39.05872331
1993,PEDSPEC1,0.226348988,0.675143664,-0.222445688,0
1994,NONPEDGEN1,29.13950584,41.96020722,16.31880446,16.31880446
1994,NONPEDSPEC1,6.849222191,10.51741227,3.181032115,3.181032115
1994,PEDGEN1,61.88951585,76.14664482,47.63238688,47.63238688
1994,PEDSPEC1,2.121756121,4.184922763,0.058589479,0.058589479
1995,NONPEDGEN1,31.09420586,44.02805453,18.1603572,18.1603572
1995,NONPEDSPEC1,6.64999398,10.65173882,2.648249139,2.648249139
1995,PEDGEN1,60.63988225,75.24696151,46.03280298,46.03280298
1995,PEDSPEC1,1.615917909,3.020147155,0.211688662,0.211688662
1996,NONPEDGEN1,29.06029864,36.14308075,21.97751653,21.97751653
1996,NONPEDSPEC1,7.961040708,11.04948484,4.872596572,4.872596572
1996,PEDGEN1,60.66188585,67.14600086,54.17777084,54.17777084
1996,PEDSPEC1,2.316774799,5.428584585,-0.795034987,0
1997,NONPEDGEN1,29.321533,42.08989054,16.55317547,16.55317547
1997,NONPEDSPEC1,7.469421616,11.11640753,3.822435702,3.822435702
1997,PEDGEN1,61.89385707,76.18330288,47.60441126,47.60441126
1997,PEDSPEC1,1.315188305,2.593062858,0.037313753,0.037313753
1998,NONPEDGEN1,31.49274988,44.94023127,18.04526849,18.04526849
1998,NONPEDSPEC1,7.174290199,11.39208622,2.956494176,2.956494176
1998,PEDGEN1,61.24301595,76.88717519,45.59885671,45.59885671
1998,PEDSPEC1,0.08994397,0.268402043,-0.088514103,0
1999,NONPEDGEN1,28.47068989,36.89555424,20.04582553,20.04582553
1999,NONPEDSPEC1,12.46817298,16.46607004,8.470275915,8.470275915
1999,PEDGEN1,58.31183171,68.55663629,48.06702714,48.06702714
1999,PEDSPEC1,0.749305424,1.980189119,-0.481578271,0
2000,NONPEDGEN1,24.59372607,31.77847049,17.40898165,17.40898165
2000,NONPEDSPEC1,9.353653438,11.38822756,7.319079318,7.319079318
2000,PEDGEN1,63.92585918,71.26740327,56.58431509,56.58431509
2000,PEDSPEC1,2.12676131,4.450144285,-0.196621665,0
2001,NONPEDGEN1,21.14685868,32.00980494,10.28391242,10.28391242
2001,NONPEDSPEC1,9.322629124,14.6467452,3.998513049,3.998513049
2001,PEDGEN1,69.34879792,84.17998013,54.51761572,54.51761572
2001,PEDSPEC1,0.181714274,0.451538194,-0.088109645,0
2002,NONPEDGEN1,21.91751786,25.47574577,18.35928996,18.35928996
2002,NONPEDSPEC1,9.241726964,12.13363016,6.349823769,6.349823769
2002,PEDGEN1,67.58025983,72.08566413,63.07485553,63.07485553
2002,PEDSPEC1,1.26049534,2.859363843,-0.338373164,0
2003,NONPEDGEN1,28.78728059,36.08285033,21.49171086,21.49171086
