year,variable,mean,upperCI,lowerCI,lowerCI_positive
1993,NONPEDGEN1,29.85387097874177,45.82508316848696,13.882658788996578,13.882658788996578
1993,NONPEDSPEC1,3.5307430617300786,5.7392032739943835,1.3222828494657741,1.3222828494657741
1993,PEDGEN1,66.61538595952815,83.32728516165425,49.903486757402064,49.903486757402064
1993,PEDSPEC1,0,0,0,0
1994,NONPEDGEN1,23.474765946464196,36.83274985893378,10.116782033994609,10.116782033994609
1994,NONPEDSPEC1,2.2132640630308487,3.961443826015913,0.46508430004578405,0.46508430004578405
1994,PEDGEN1,73.38208615498736,86.67639328216892,60.08777902780582,60.08777902780582
1994,PEDSPEC1,0.9298838355175884,2.174731775538114,-0.31496410450293744,0
1995,NONPEDGEN1,22.653905666474767,34.952376656120975,10.35543467682856,10.35543467682856
1995,NONPEDSPEC1,2.070727672351618,4.2879563621656995,-0.146501017462463,0
1995,PEDGEN1,74.08980924844357,87.0861995505325,61.093418946354646,61.093418946354646
1995,PEDSPEC1,1.1855574127300392,2.7006074008411605,-0.329492575381082,0
1996,NONPEDGEN1,17.50172277810469,25.605182982747543,9.398262573461833,9.398262573461833
1996,NONPEDSPEC1,3.0154518847986185,5.050557432701315,0.9803463368959222,0.9803463368959222
1996,PEDGEN1,77.90918506998908,85.64579501673491,70.17257512324326,70.17257512324326
1996,PEDSPEC1,1.5736402671076037,4.068976515613325,-0.9216959813981171,0
1997,NONPEDGEN1,21.30285573239517,32.30915951975449,10.296551945035855,10.296551945035855
1997,NONPEDSPEC1,1.8676419834415467,3.020180025398585,0.7151039414845088,0.7151039414845088
1997,PEDGEN1,76.0416877200926,87.30669110189928,64.77668433828592,64.77668433828592
1997,PEDSPEC1,0.7878145640706871,1.5765169648512243,-8.878367098501261e-4,0
1998,NONPEDGEN1,27.046819268644235,41.279762549086946,12.813875988201524,12.813875988201524
1998,NONPEDSPEC1,1.096438742806847,2.08330525679366,0.10957222882003406,0.10957222882003406
1998,PEDGEN1,71.75939530067245,86.33912597825099,57.17966462309392,57.17966462309392
1998,PEDSPEC1,0.09734668787646401,0.2944171133016572,-0.09972373754872921,0
1999,NONPEDGEN1,23.544155449994207,31.084810887579984,16.00350001240843,16.00350001240843
1999,NONPEDSPEC1,4.990148194902866,9.678354287893042,0.3019421019126903,0.3019421019126903
1999,PEDGEN1,71.05089241724377,79.51824622082874,62.583538613658796,62.583538613658796
1999,PEDSPEC1,0.4148039378591542,1.1094025754446288,-0.27979469972632054,0
2000,NONPEDGEN1,16.21909926779112,23.60453761643192,8.833660919150315,8.833660919150315
2000,NONPEDSPEC1,1.3499475945884032,2.6695506451038837,0.030344544072922683,0.030344544072922683
2000,PEDGEN1,76.04168706474651,85.44880238552128,66.63457174397173,66.63457174397173
2000,PEDSPEC1,6.389266072873964,13.366081342228448,-0.5875491964805177,0
2001,NONPEDGEN1,18.59011613963823,29.750477311793304,7.429754967483153,7.429754967483153
2001,NONPEDSPEC1,1.606485838745723,3.131136352596321,0.08183532489512528,0.08183532489512528
2001,PEDGEN1,79.55401383184682,91.41394763053954,67.6940800331541,67.6940800331541
2001,PEDSPEC1,0.24938418976922774,0.6218543293247274,-0.12308594978627194,0
2002,NONPEDGEN1,12.457380913304446,16.04012439958982,8.874637427019069,8.874637427019069
2002,NONPEDSPEC1,1.3184884192728314,2.18816980659296,0.44880703195270283,0.44880703195270283
2002,PEDGEN1,84.04561612014784,89.05400654059173,79.03722569970394,79.03722569970394
2002,PEDSPEC1,2.1785145472748897,5.621988372412547,-1.2649592778627674,0
2003,NONPEDGEN1,22.329344295070154,33.95203575996154,10.706652830178761,10.706652830178761
2003,NONPEDSPEC1,2.15083330040326,3.4960944737537982,0.8055721270527215,0.8055721270527215
2003,PEDGEN1,74.54069198539392,85.99471472222217,63.086669248565656,63.086669248565656
2003,PEDSPEC1,0.9791304191326727,2.048923291806649,-0.0906624535413035,0
2004,NONPEDGEN1,14.871660346003068,20.80350642969229,8.939814262313844,8.939814262313844
2004,NONPEDSPEC1,1.500116419927439,2.4950143337158575,0.505218506139021,0.505218506139021
2004,PEDGEN1,82.40589769655945,88.52179413537371,76.29000125774519,76.29000125774519
2004,PEDSPEC1,1.222325537510044,3.457860571493003,-1.0132094964729152,0
2005,NONPEDGEN1,10.990931525543488,14.963739219955643,7.018123831131332,7.018123831131332
2005,NONPEDSPEC1,0.6494513447323549,1.2406922843887178,0.05821040507599205,0.05821040507599205
2005,PEDGEN1,87.34129186231888,91.7939113894117,82.88867233522606,82.88867233522606
2005,PEDSPEC1,1.0183252674052794,2.3918397304485812,-0.3551891956380225,0
2006,NONPEDGEN1,15.474824607111342,21.487854962683002,9.461794251539683,9.461794251539683
2006,NONPEDSPEC1,1.419683860188327,2.8066472716193904,0.03272044875726344,0.03272044875726344
2006,PEDGEN1,82.85486843721608,88.83077522480738,76.87896164962478,76.87896164962478
2006,PEDSPEC1,0.2506230954842596,0.7467955451519046,-0.2455493541833854,0
2007,NONPEDGEN1,12.741535420861073,16.9052248306964,8.577846011025745,8.577846011025745
2007,NONPEDSPEC1,0.42327780311463065,0.9590782214849229,-0.11252261525566166,0
2007,PEDGEN1,84.68313828140637,89.63368994862822,79.73258661418453,79.73258661418453
2007,PEDSPEC1,2.152048494617934,5.187713663675876,-0.8836166744400076,0
2008,NONPEDGEN1,11.864581736191084,17.851221799043728,5.877941673338444,5.877941673338444
2008,NONPEDSPEC1,0.6221701437269476,1.0216886221552801,0.2226516652986149,0.2226516652986149
